solved;AASPOR.ConcurrencySafety;SPOR.ConcurrencySafety
0;4,32;4,54
1;4,42;4,74
2;4,60;4,78
3;4,65;4,79
4;4,74;4,80
5;4,77;4,82
6;4,84;4,84
7;4,89;4,89
8;4,90;4,89
9;4,91;4,89
10;4,98;4,92
11;4,99;4,94
12;5,01;4,94
13;5,02;4,96
14;5,04;5,03
15;5,05;5,08
16;5,07;5,08
17;5,08;5,10
18;5,11;5,11
19;5,12;5,12
20;5,13;5,12
21;5,18;5,13
22;5,18;5,16
23;5,22;5,19
24;5,22;5,20
25;5,24;5,21
26;5,28;5,22
27;5,30;5,23
28;5,38;5,26
29;5,38;5,30
30;5,41;5,31
31;5,43;5,33
32;5,44;5,33
33;5,44;5,35
34;5,46;5,38
35;5,46;5,38
36;5,49;5,45
37;5,50;5,48
38;5,51;5,48
39;5,52;5,51
40;5,53;5,56
41;5,54;5,60
42;5,55;5,60
43;5,57;5,62
44;5,71;5,69
45;5,72;5,73
46;5,75;5,76
47;5,81;5,84
48;5,86;5,84
49;5,91;5,91
50;5,91;5,96
51;5,93;5,97
52;5,95;6,48
53;5,99;6,49
54;6,11;6,54
55;6,14;6,61
56;6,30;6,71
57;6,37;6,76
58;6,51;7,43
59;6,67;7,72
60;6,97;7,91
61;7,11;8,28
62;7,13;8,30
63;7,14;8,51
64;7,18;8,63
65;7,19;8,67
66;7,43;8,94
67;7,46;9,01
68;7,62;9,07
69;7,66;9,11
70;7,86;9,18
71;7,94;9,98
72;8,58;10,28
73;8,67;10,69
74;8,94;10,97
75;8,96;12,67
76;9,09;13,52
77;9,13;13,88
78;9,47;13,90
79;9,64;13,99
80;9,90;14,17
81;10,26;14,24
82;10,46;14,28
83;10,97;14,30
84;11,55;14,73
85;11,78;14,88
86;12,20;14,91
87;12,23;15,50
88;12,28;15,57
89;12,40;15,74
90;12,48;15,92
91;12,99;16,28
92;13,01;16,33
93;13,01;16,34
94;13,02;16,36
95;13,46;16,37
96;13,67;16,37
97;13,77;16,40
98;13,98;16,41
99;14,01;16,50
100;14,19;16,58
101;14,23;16,73
102;14,67;16,78
103;15,02;17,08
104;15,14;17,30
105;15,17;17,33
106;15,54;17,72
107;16,01;17,73
108;16,05;17,83
109;16,34;17,90
110;16,63;17,98
111;16,84;18,09
112;17,59;18,23
113;17,79;18,49
114;17,83;18,88
115;18,45;19,26
116;18,52;19,37
117;18,75;19,65
118;19,01;20,43
119;19,02;20,87
120;19,40;21,28
121;19,46;21,41
122;19,55;21,50
123;19,77;22,64
124;19,96;25,29
125;20,02;25,35
126;20,06;25,64
127;20,49;27,36
128;20,80;28,10
129;21,28;28,92
130;21,77;30,61
131;21,86;30,91
132;21,88;33,17
133;22,00;35,27
134;22,10;35,38
135;22,29;36,80
136;22,46;37,97
137;22,84;37,98
138;23,08;42,52
139;23,39;53,32
140;23,45;53,62
141;25,02;53,70
142;25,10;55,76
143;26,34;57,25
144;29,24;63,20
145;31,08;66,43
146;31,72;69,61
147;32,06;69,78
148;33,26;73,52
149;33,90;77,10
150;36,64;80,14
151;37,58;82,81
152;39,01;84,38
153;40,24;96,29
154;40,37;100,00
155;41,71;114,19
156;44,69;120,96
157;46,65;126,70
158;48,19;127,69
159;51,74;128,88
160;63,82;133,36
161;66,56;133,38
162;66,68;137,94
163;69,37;139,58
164;70,93;151,83
165;72,44;165,91
166;77,58;173,11
167;80,77;178,70
168;83,50;179,81
169;94,89;189,04
170;97,72;191,76
171;115,83;212,92
172;115,97;234,31
173;123,44;242,58
174;132,30;249,32
175;139,95;250,02
176;146,02;265,25
177;149,53;275,36
178;155,69;284,93
179;165,72;295,58
180;166,41;299,77
181;167,44;301,22
182;207,31;301,32
183;237,18;305,87
184;237,97;308,01
185;278,63;326,72
186;285,76;344,68
187;291,77;346,12
188;313,85;348,36
189;325,28;395,13
190;336,66;443,57
191;399,44;447,45
192;424,16;452,55
193;468,50;465,12
194;472,16;485,63
195;476,42;494,07
196;483,44;504,95
197;494,06;529,59
198;495,17;529,63
199;502,53;534,66
200;510,74;552,83
201;510,76;561,84
202;519,41;562,15
203;529,20;562,59
204;539,34;563,81
205;539,41;564,48
206;553,25;572,32
207;587,03;580,05
208;604,62;583,26
209;621,96;584,86
210;623,53;584,95
211;639,37;587,28
212;647,49;601,10
213;652,02;603,26
214;653,68;606,91
215;663,57;615,23
216;665,65;616,66
217;685,42;617,49
218;685,96;633,60
219;687,66;636,66
220;691,27;642,38
221;691,37;642,83
222;696,17;643,73
223;702,58;653,33
224;705,15;691,67
225;718,11;692,23
226;736,54;699,39
227;740,14;704,93
228;744,81;727,17
229;751,90;728,45
230;759,25;783,50
231;766,91;799,42
232;777,96;799,69
233;797,17;812,88
234;803,56;815,16
235;809,51;852,11
236;815,84;857,43
237;843,64;870,10
238;855,64;884,99
239;868,08;888,20
240;877,13;
